Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KCNK4|50801,4.96688311,-0.155764027,0.219396121,-0.709967094,0.477724542,0.569614695
MYEF2|50804,1397.500282,0.536094409,0.076511239,7.006740668,2.44E-12,1.54E-11
IRX4|50805,785.9050376,1.254436735,0.204911888,6.121834837,9.25E-10,4.26E-09
ASAP1|50807,1114.69044,-0.599732597,0.097425197,-6.155826406,7.47E-10,3.48E-09
AK3|50808,4410.811175,-0.215887644,0.050911929,-4.24041373,2.23E-05,5.83E-05
HP1BP3|50809,8060.620919,-0.218553804,0.043603831,-5.012261491,5.38E-07,1.75E-06
HDGFRP3|50810,1494.14691,-0.428098408,0.07205522,-5.941254572,2.83E-09,1.23E-08
COPS7A|50813,4333.921369,-0.151266831,0.050163067,-3.015502035,0.002565542,0.004907289
NSDHL|50814,1287.311548,-0.396777474,0.062860381,-6.31204371,2.75E-10,1.35E-09
TAS2R3|50831,0.570672682,-0.157127302,0.348021787,-0.451486968,0.651638616,0.738268529
TAS2R4|50832,3.432980853,0.401143044,0.196528998,2.041139215,0.041236991,0.063961074
TAS2R16|50833,0.010856756,0.208440888,4.935570885,0.042232377,0.966313453,0.983988191
TAS2R1|50834,0.184305413,0.142621278,0.838215308,0.17014874,0.864893164,0.927239376
TAS2R9|50835,0.043113368,0.202019857,1.825156791,0.110686303,0.911865108,0.961687657
TAS2R8|50836,0.106156807,0.38783466,1.014954103,0.382120393,0.702372066,0.785565573
TAS2R7|50837,0.013303863,0.097469498,4.935570885,0.019748374,0.984244102,0.990421708
TAS2R13|50838,0.570584034,0.02583825,0.346015648,0.074673645,0.940474377,0.980712042
TAS2R10|50839,1.486565058,0.442751914,0.25858346,1.71222055,0.086856032,0.126134915
TAS2R14|50840,14.16001446,0.247072071,0.137100515,1.802123578,0.071525965,0.105658596
DHH|50846,16.63474818,-0.056827269,0.145135372,-0.39154665,0.695393214,0.779399916
F11R|50848,7223.399092,-0.419019338,0.059656805,-7.023831372,2.16E-12,1.37E-11
TRAT1|50852,25.84139077,0.018771389,0.230566984,0.081414036,0.935112687,0.978116832
VILL|50853,738.4094492,-0.909146234,0.157358995,-5.777529493,7.58E-09,3.14E-08
C6orf48|50854,5014.295731,0.461128829,0.082927871,5.560601334,2.69E-08,1.04E-07
PARD6A|50855,334.9719886,0.585587717,0.105593389,5.54568541,2.93E-08,1.13E-07
CLEC4A|50856,56.14301044,-0.23447197,0.123819589,-1.893658126,0.058270403,0.08793314
SPOCK3|50859,1710.912206,-1.585733861,0.172684594,-9.182833442,4.20E-20,7.10E-19
STMN3|50861,1763.859387,0.089550609,0.11028485,0.811993751,0.416795217,0.506546288
RNF141|50862,3728.060979,-0.10251807,0.064461299,-1.590381688,0.111748795,0.158299392
NTM|50863,229.996424,1.882117852,0.241199035,7.803173208,6.04E-15,5.25E-14
HEBP1|50865,2538.102205,0.17981678,0.065622296,2.740178121,0.00614059,0.01106848
CDON|50937,700.1005008,0.28629583,0.133689905,2.141491753,0.032234403,0.051068718
IMPG2|50939,3.83883486,0.075391682,0.193840609,0.388936466,0.697323146,0.781073403
PDE11A|50940,942.5265998,-0.519947155,0.224448476,-2.316554622,0.020528006,0.033756822
FOXP3|50943,69.567766,0.295099106,0.148904676,1.981798786,0.047501765,0.072924775
SHANK1|50944,13.69754878,-0.167989431,0.195420843,-0.859629037,0.389993563,0.478288028
TBX22|50945,1.818999638,-1.696292577,0.338510859,-5.01104331,5.41E-07,1.76E-06
SOST|50964,1.592703407,-1.023582073,0.402632599,-2.542223543,0.01101497,0.019006355
TMED5|50999,3576.755773,-0.100188715,0.084504987,-1.185595304,0.235782158,0.307696341
SLC35B3|51000,1184.928237,-0.198391119,0.055387607,-3.581868407,0.000341146,0.000744727
MTERFD1|51001,678.0449537,0.276479203,0.073553873,3.758866701,0.000170685,0.000389376
TPRKB|51002,773.5624845,0.285533466,0.065561188,4.355221076,1.33E-05,3.58E-05
MED31|51003,306.3869377,-0.08776443,0.055559174,-1.579656847,0.114185473,0.161413977
COQ6|51004,980.1066774,0.119520497,0.050470147,2.368142446,0.017877651,0.029719317
AMDHD2|51005,711.3901334,0.778297929,0.086054097,9.044286713,1.51E-19,2.36E-18
SLC35C2|51006,3746.212806,0.402673725,0.059049735,6.819230001,9.15E-12,5.40E-11
ASCC1|51008,856.7865922,-0.353848618,0.060386638,-5.859717117,4.64E-09,1.97E-08
DERL2|51009,2044.191137,-0.022627614,0.07895546,-0.286587075,0.774428512,0.850440199
EXOSC3|51010,724.8609353,0.227482937,0.046514753,4.890554544,1.01E-06,3.16E-06
FAHD2A|51011,941.9994836,0.38068494,0.076820679,4.955500839,7.21E-07,2.32E-06
SLMO2|51012,2939.340123,0.339331833,0.065136862,5.209520698,1.89E-07,6.54E-07
EXOSC1|51013,846.2772157,-0.007704278,0.068593142,-0.112318492,0.91057088,0.960734827
TMED7|51014,7067.26116,-0.257405778,0.082203106,-3.131338833,0.001740113,0.00341239
ISOC1|51015,1567.884787,-0.011214744,0.055885948,-0.200671987,0.840955065,0.908083732
FAM158A|51016,769.6218311,0.633021886,0.113457705,5.579364455,2.41E-08,9.40E-08
RRP15|51018,988.6935966,0.096572239,0.053596247,1.801847049,0.071569473,0.105706988
CCDC53|51019,1048.59563,-0.003174697,0.064606225,-0.049139186,0.960808375,0.983988191
HDDC2|51020,1900.841472,-0.196156269,0.074566711,-2.630614455,0.008523067,0.014978574
MRPS16|51021,4610.259584,0.304001919,0.055769508,5.451041798,5.01E-08,1.87E-07
GLRX2|51022,724.2793745,0.279274395,0.092848422,3.007852892,0.002631005,0.005026637
MRPS18C|51023,581.8008755,0.131194674,0.053943547,2.432073531,0.015012659,0.025281164
FIS1|51024,5662.235923,0.267623012,0.090689231,2.950989993,0.003167572,0.005982042
TIMM16|51025,669.8133464,0.953968419,0.115473664,8.261350538,1.44E-16,1.54E-15
GOLT1B|51026,1944.923265,-0.074195779,0.062078817,-1.195186745,0.232014076,0.303443372
BOLA1|51027,737.5191468,-0.004480785,0.07780523,-0.057589761,0.954075406,0.983988191
VPS36|51028,2670.261008,-0.358212502,0.074799751,-4.788953141,1.68E-06,5.10E-06
PPPDE1|51029,1676.314616,-0.342501978,0.062190995,-5.507259993,3.64E-08,1.39E-07
FAM18B|51030,1777.355683,-0.103297411,0.061221522,-1.687272845,0.0915509,0.13226933
GLOD4|51031,3395.182891,0.072702318,0.054045438,1.345207303,0.178558299,0.24111377
CELA2B|51032,0.09607261,0.26522437,1.314894191,0.201707766,0.840145191,0.907358652
UBXN1|51035,4978.377478,0.265272455,0.082363038,3.220770645,0.001278464,0.002557318
ZNF593|51042,1501.856644,0.914008897,0.130500665,7.003863926,2.49E-12,1.56E-11
ZBTB7B|51043,6132.925817,0.61224074,0.07380076,8.295859564,1.08E-16,1.18E-15
ST8SIA3|51046,3.847569809,-1.222404688,0.307328259,-3.977521271,6.96E-05,0.000168869
PI15|51050,6352.222298,0.141694023,0.257736761,0.549762565,0.582482238,0.67325869
PRLH|51052,0.095295208,0.458138439,1.519894777,0.301427734,0.763088348,0.840568141
GMNN|51053,1497.204501,-0.350697379,0.138868908,-2.525384433,0.011557179,0.019866994
PLEKHA9|51054,82.09575102,-0.628222897,0.096195853,-6.530665079,6.55E-11,3.50E-10
LAP3|51056,3398.003007,0.17803807,0.057891045,3.075399152,0.00210221,0.004067319
C2orf86|51057,131.3200432,-0.030219801,0.082918817,-0.364450462,0.71552166,0.798411274
ZNF691|51058,609.1512017,0.112011593,0.059457234,1.883901827,0.059578256,0.08968657
FAM135B|51059,44.95870816,0.452166847,0.307142099,1.472174764,0.14097369,0.195282169
TXNDC12|51060,3449.288207,0.092163545,0.05043193,1.827483997,0.06762703,0.100571303
TXNDC11|51061,5814.78365,0.361844956,0.058085432,6.229530255,4.68E-10,2.24E-09
ATL1|51062,908.8104834,-0.141436979,0.087922919,-1.608647436,0.107693455,0.153227906
CALHM2|51063,589.5784973,-0.605721065,0.102388287,-5.915921476,3.30E-09,1.43E-08
RPS27L|51065,3464.626203,0.181439331,0.082629053,2.195829747,0.028104132,0.045073399
C3orf32|51066,8.442347066,0.271333486,0.179136889,1.514671195,0.129855693,0.181388511
YARS2|51067,682.5112698,0.205136687,0.045132104,4.545249824,5.49E-06,1.56E-05
NMD3|51068,2266.060386,-0.050091255,0.063592949,-0.787685689,0.430880578,0.521537852
MRPL2|51069,1137.100795,0.090427812,0.073700816,1.226958083,0.219838346,0.289385653
NOSIP|51070,2143.801391,0.364200669,0.100911184,3.609120938,0.000307236,0.000675728
DERA|51071,667.509915,-0.481407512,0.061160398,-7.871229223,3.51E-15,3.15E-14
MEMO1|51072,967.4283865,0.441227851,0.070991329,6.215235856,5.12E-10,2.44E-09
MRPL4|51073,2227.793385,0.214472556,0.071940851,2.981234616,0.002870888,0.005455796
APIP|51074,1180.921355,-0.092619737,0.063851977,-1.450538286,0.146908471,0.202552512
TMX2|51075,5009.94777,0.014441323,0.045987927,0.314024219,0.753502644,0.832325256
CUTC|51076,576.1052702,-0.167993183,0.072738522,-2.309549018,0.020913135,0.034332731
FCF1|51077,1642.517739,-0.17715722,0.04136945,-4.282319877,1.85E-05,4.89E-05
THAP4|51078,3786.322937,0.28176263,0.06099791,4.619217752,3.85E-06,1.12E-05
NDUFA13|51079,10051.43648,0.440919217,0.111939737,3.938898097,8.19E-05,0.000195678
MRPS7|51081,2953.830798,0.253504482,0.058400215,4.340814169,1.42E-05,3.81E-05
POLR1D|51082,4765.937142,0.306959547,0.059498012,5.159156381,2.48E-07,8.43E-07
GAL|51083,147.7654456,2.533887296,0.229270022,11.05197824,2.14E-28,9.95E-27
CRYL1|51084,3866.945967,0.196081516,0.078814523,2.487885579,0.012850507,0.021902654
MLXIPL|51085,83.8722431,-0.317702711,0.189463049,-1.676858427,0.093570169,0.134919116
TNNI3K|51086,22.20855812,-1.419888382,0.15521615,-9.147813417,5.81E-20,9.60E-19
YBX2|51087,34.3462208,-1.17053783,0.217322652,-5.386174979,7.20E-08,2.64E-07
KLHL5|51088,1482.721232,-1.072255727,0.104279488,-10.28251813,8.45E-25,2.57E-23
PLLP|51090,360.9034221,-2.093621395,0.147925031,-14.15325977,1.78E-45,3.37E-43
SEPSECS|51091,675.5264297,-0.058979956,0.058796527,-1.003119708,0.315803107,0.39743626
SIDT2|51092,6091.905387,-0.051740179,0.081052521,-0.638353724,0.523243447,0.615310018
C1orf66|51093,2081.041268,0.107665594,0.054500723,1.97548928,0.04821265,0.073918046
ADIPOR1|51094,7135.505059,0.243602363,0.055179959,4.414689061,1.01E-05,2.77E-05
TRNT1|51095,1199.62929,0.573021394,0.105919254,5.409983293,6.30E-08,2.33E-07
UTP18|51096,1473.778068,0.285141036,0.04903301,5.815287152,6.05E-09,2.54E-08
SCCPDH|51097,5152.334678,0.245801627,0.061567158,3.992414693,6.54E-05,0.000159146
IFT52|51098,1217.362658,-0.22475145,0.043917516,-5.117581107,3.09E-07,1.04E-06
ABHD5|51099,1101.769969,-0.139868632,0.049573107,-2.821461868,0.004780532,0.008768024
SH3GLB1|51100,4004.338661,-0.583165962,0.045568643,-12.79752751,1.69E-37,1.90E-35
FAM164A|51101,817.4668475,-0.197755671,0.084557516,-2.338711929,0.019350347,0.031972613
MECR|51102,865.2866038,0.323408509,0.059206877,5.462347009,4.70E-08,1.76E-07
